pixel_no	pixel_x	pixel_y	latitude	longitude	reflec_1_NOICOL_mean	reflec_1_NOICOL_sigma	band	Product	ICOL_ID	Percentage_difference	Distance_Km
50	143	266	58.59045	17.465866	0.0016136661	2.74E-04	reflec_3	FUB_L1N_NOL1N_20100511	0	1.84	19.246
51	144	267	58.587257	17.46873	0.00156406	2.65E-04	reflec_3	FUB_L1N_NOL1N_20100511	0	1.85	19.638
52	145	268	58.584064	17.471592	0.0014995566	1.44E-04	reflec_3	FUB_L1N_NOL1N_20100511	0	1.80	19.804
53	146	268	58.58341	17.475883	0.0015463014	1.58E-04	reflec_3	FUB_L1N_NOL1N_20100511	0	0.99	20.196
54	147	269	58.58021	17.47874	0.0013921547	1.72E-04	reflec_3	FUB_L1N_NOL1N_20100511	0	0.78	20.587
55	148	270	58.57702	17.481602	0.0014435876	2.42E-04	reflec_3	FUB_L1N_NOL1N_20100511	0	0.09	20.979
56	149	271	58.573826	17.484463	0.0014721558	1.46E-04	reflec_3	FUB_L1N_NOL1N_20100511	0	0.57	21.371
57	150	272	58.570633	17.487322	0.0016478609	2.23E-04	reflec_3	FUB_L1N_NOL1N_20100511	0	0.60	21.763
58	151	273	58.56744	17.49018	0.0015535749	1.88E-04	reflec_3	FUB_L1N_NOL1N_20100511	0	1.30	22.155
59	152	274	58.564247	17.493038	0.0016581714	2.05E-04	reflec_3	FUB_L1N_NOL1N_20100511	0	1.28	22.546
60	153	275	58.561054	17.495895	0.0016089865	2.26E-04	reflec_3	FUB_L1N_NOL1N_20100511	0	1.58	22.938
61	154	276	58.557854	17.498741	0.0016794541	1.80E-04	reflec_3	FUB_L1N_NOL1N_20100511	0	1.03	23.331
